FIPS,E_TOTPOP,E_AGE65,E_AGE17,acc_hospital_clinic,drop_hospital_clinic,droppct_hospital_clinic,acc_residential_elderly_disabled,drop_residential_elderly_disabled,droppct_residential_elderly_disabled,acc_childcare_center,drop_childcare_center,droppct_childcare_center,acc_school,drop_school,droppct_school
06001407800,2769.0,311.0,537.0,0.012899597705102366,0.0,0.0,0.09170967010276593,0.0,0.0,0.13837392441125673,0.0,0.0,0.0020994786624034673,0.0,0.0
06001407900,3088.0,467.0,668.0,0.01288355808739824,0.0,0.0,0.09169466669225304,0.0,0.0,0.14980068132517993,0.0,0.0,0.0020857560166214727,0.0,0.0
06001408000,2860.0,692.0,326.0,0.012849720683848102,0.0,0.0,0.09125431305098204,0.0,0.0,0.17534055248175462,0.0,0.0,0.0020352095405353683,0.0,0.0
06001408100,7313.0,1354.0,1424.0,0.012621725242336653,0.0,0.0,0.092349320939833,0.0,0.0,0.12595186595209468,0.0,0.0,0.001753053627561312,0.0,0.0
06001408200,4471.0,737.0,947.0,0.012798840573884902,0.0,0.0,0.0919664061438858,0.0,0.0,0.11824853490785223,0.0,0.0,0.0019849625323032716,0.0,0.0
06001408300,4791.0,627.0,782.0,0.012692842430750015,0.0,0.0,0.09238195153926622,0.0,0.0,0.10267318111932665,0.0,0.0,0.0018679498942707762,0.0,0.0
06001408400,4077.0,506.0,786.0,0.012741503988395997,0.0,0.0,0.0921711966988005,0.0,0.0,0.10464268464860707,0.0,0.0,0.0019204988450828137,0.0,0.0
06001408500,5634.0,511.0,1463.0,0.012795470032524311,0.0,0.0,0.09180289247535452,0.0,0.0,0.11195033284995032,0.0,0.0,0.0019623020531246644,0.0,0.0
06001408600,6519.0,650.0,1575.0,0.012837773926769568,0.0,0.0,0.09161181177084991,0.0,0.0,0.11878339154879988,0.0,0.0,0.002014134453949135,0.0,0.0
06001408700,7456.0,816.0,1793.0,0.012894391587831806,0.0,0.0,0.09146014351708515,0.0,0.0,0.12890261128390454,0.0,0.0,0.002067651123772929,0.0,0.0
06001408800,7968.0,590.0,2765.0,0.012918798328088196,0.0,0.0,0.09100938507737834,0.0,0.0,0.12625274420575575,0.0,0.0,0.0020344249525380597,0.0,0.0
06001408900,3956.0,400.0,975.0,0.012851959222094983,0.0,0.0,0.0910670938470313,0.0,0.0,0.11569349983110497,0.0,0.0,0.0019713320143067412,0.0,0.0
