facility_id,category,fire_status,outcome,FIPS,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
RED-012996,residential_elderly_disabled,,outside_all_perimeters,06073002801,0.3804,0.543,0.0069,0.2295,0.9012
RED-017935,residential_elderly_disabled,,outside_all_perimeters,06061020401,0.5623,0.6167,0.2776,0.182,0.7748
RED-009576,residential_elderly_disabled,,outside_all_perimeters,06067006600,0.861,0.8417,0.6973,0.5659,0.8934
RED-007613,residential_elderly_disabled,,outside_all_perimeters,06059032022,0.5319,0.5229,0.483,0.4075,0.5873
RED-008521,residential_elderly_disabled,,outside_all_perimeters,06059032013,0.5048,0.2643,0.6624,0.2373,0.8112
RED-002706,residential_elderly_disabled,,outside_all_perimeters,06059032013,0.5048,0.2643,0.6624,0.2373,0.8112
RED-017474,residential_elderly_disabled,,outside_all_perimeters,06001435602,0.7857,0.5617,0.6844,0.668,0.962
RED-009447,residential_elderly_disabled,,outside_all_perimeters,06037128500,0.4021,0.3583,0.0803,0.2136,0.8737
RED-007311,residential_elderly_disabled,,outside_all_perimeters,06037128500,0.4021,0.3583,0.0803,0.2136,0.8737
RED-010138,residential_elderly_disabled,,outside_all_perimeters,06037128500,0.4021,0.3583,0.0803,0.2136,0.8737
RED-013960,residential_elderly_disabled,,outside_all_perimeters,06037128500,0.4021,0.3583,0.0803,0.2136,0.8737
RED-003821,residential_elderly_disabled,,outside_all_perimeters,06037128500,0.4021,0.3583,0.0803,0.2136,0.8737
RED-019082,residential_elderly_disabled,,outside_all_perimeters,06111006600,0.1814,0.0741,0.4313,0.1548,0.3493
RED-017125,residential_elderly_disabled,,outside_all_perimeters,06111006900,0.7186,0.7801,0.6334,0.2964,0.7101
RED-016035,residential_elderly_disabled,,outside_all_perimeters,06111006600,0.1814,0.0741,0.4313,0.1548,0.3493
RED-007168,residential_elderly_disabled,,outside_all_perimeters,06111006600,0.1814,0.0741,0.4313,0.1548,0.3493
RED-021470,residential_elderly_disabled,,outside_all_perimeters,06037123602,0.7913,0.8455,0.854,0.3479,0.6355
