FIPS,fire,category,drop,drop_pct
06037239502,PALISADES,residential_elderly_disabled,0.00012434268989373922,0.1350306466099297
06037239601,PALISADES,residential_elderly_disabled,0.00016085090164502335,0.17608813118457328
06037239602,PALISADES,residential_elderly_disabled,0.00015590602582987568,0.1713014843463698
06037239701,PALISADES,residential_elderly_disabled,0.00015258398159083593,0.16837267311066548
06037239702,PALISADES,residential_elderly_disabled,0.00014727413784603453,0.16324147199682798
06037239801,PALISADES,residential_elderly_disabled,0.00012017321814079758,0.13088703144568734
06037239802,PALISADES,residential_elderly_disabled,0.00011579358907134052,0.126590686445858
06037240010,PALISADES,residential_elderly_disabled,0.00011281329816536793,0.12402153813016101
06037240020,PALISADES,residential_elderly_disabled,0.00010764179450994141,0.11894867114552617
06037240200,PALISADES,residential_elderly_disabled,0.00014200533348987044,0.15884919793819507
06037240301,PALISADES,residential_elderly_disabled,0.00016220806338733155,0.18320691681369364
06037240302,PALISADES,residential_elderly_disabled,0.00017610992536916482,0.20043050567855364
06037240401,PALISADES,residential_elderly_disabled,0.0001577808245494333,0.18047691303992847
06037240402,PALISADES,residential_elderly_disabled,0.0001492373717046741,0.17211650744377993
06037240500,PALISADES,residential_elderly_disabled,0.0001278355966899863,0.14483834895718717
06037240600,PALISADES,residential_elderly_disabled,0.00010921972969115824,0.12258327243660039
06037240700,PALISADES,residential_elderly_disabled,8.586794224800409e-05,0.09539045166425836
06037240800,PALISADES,residential_elderly_disabled,7.946435299592753e-05,0.08942441284845568
06037240901,PALISADES,residential_elderly_disabled,6.395890015441287e-05,0.07272452357522566
06037240902,PALISADES,residential_elderly_disabled,7.99378978810827e-05,0.09089931834738961
06037241001,PALISADES,residential_elderly_disabled,7.719980529952149e-05,0.08901054979409034
06037241002,PALISADES,residential_elderly_disabled,5.749185645685361e-05,0.06635204416220725
06037241110,PALISADES,residential_elderly_disabled,0.0001017091561006999,0.11659583671356546
06037241120,PALISADES,residential_elderly_disabled,0.00011458011734332437,0.13226182037432985
06037241201,PALISADES,residential_elderly_disabled,0.00014315447863057408,0.16640983126123823
06037241202,PALISADES,residential_elderly_disabled,0.00013176239763320208,0.15480851345896926
06037241300,PALISADES,residential_elderly_disabled,0.0001202703318969286,0.1429730293103926
06037241400,PALISADES,residential_elderly_disabled,9.323238726273236e-05,0.10940451778481029
06037242000,PALISADES,residential_elderly_disabled,5.068211522751456e-05,0.05638004760618864
06037242100,PALISADES,residential_elderly_disabled,1.3592129701967953e-05,0.014722757132026008
06037242201,PALISADES,residential_elderly_disabled,3.4545168101133953e-05,0.03737218989983821
06037242202,PALISADES,residential_elderly_disabled,3.549035430426801e-05,0.038674588235503446
06037242300,PALISADES,residential_elderly_disabled,5.316193962989502e-05,0.058110892547524245
06037242600,PALISADES,residential_elderly_disabled,4.0359564001820904e-05,0.04539964325662564
06037242700,PALISADES,residential_elderly_disabled,2.715999417303479e-05,0.030093246665069684
06037243001,PALISADES,residential_elderly_disabled,1.587764222088411e-05,0.017390467508941847
06037243002,PALISADES,residential_elderly_disabled,2.464342808611311e-06,0.0026895561937764073
06037243100,PALISADES,residential_elderly_disabled,2.9867359312580652e-06,0.0033007609324452293
06037261102,PALISADES,residential_elderly_disabled,0.0004906563030375293,0.43447396186160736
06037261103,PALISADES,residential_elderly_disabled,0.0004231284445414872,0.3744563521511472
06037261104,PALISADES,residential_elderly_disabled,0.00046811598259208616,0.4156662069823216
06037261200,PALISADES,residential_elderly_disabled,0.0005158792857396877,0.45964129079122723
06037262100,PALISADES,residential_elderly_disabled,0.000542783473022721,0.5017203278051654
06037262200,PALISADES,residential_elderly_disabled,0.000554480377528595,0.5097800001829117
06037262301,PALISADES,residential_elderly_disabled,0.0005670227929401567,0.5248302209292635
06037262302,PALISADES,residential_elderly_disabled,0.0005820980155427852,0.5774425556678301
06037262303,PALISADES,residential_elderly_disabled,0.0005930336381592767,0.6129722743491394
06037262400,PALISADES,residential_elderly_disabled,0.0005860479304740387,0.5681087679247138
06037262501,PALISADES,residential_elderly_disabled,0.0006083495044422142,0.7081915363387804
06037262601,PALISADES,residential_elderly_disabled,0.0005963197566272131,0.662433206388718
06037262604,PALISADES,residential_elderly_disabled,0.0006058567565485586,0.7363070554138261
06037262704,PALISADES,residential_elderly_disabled,0.0006074799811096873,0.762096094219345
06037262706,PALISADES,residential_elderly_disabled,0.0006077272596705371,0.7576550916297035
06037262802,PALISADES,residential_elderly_disabled,0.0006054926432835155,0.7134127134495375
06037264000,PALISADES,residential_elderly_disabled,0.0005925954912249473,0.6364501183443029
06037264102,PALISADES,residential_elderly_disabled,0.0005824349697762968,0.6060664610332639
06037264103,PALISADES,residential_elderly_disabled,0.0005805641784252294,0.6125719414039377
06037264303,PALISADES,residential_elderly_disabled,0.0005806797627286898,0.6209177050058962
06037264304,PALISADES,residential_elderly_disabled,0.0005774539255052971,0.6175746438070858
06037264305,PALISADES,residential_elderly_disabled,0.0005911282385795371,0.6508263439482894
06037264306,PALISADES,residential_elderly_disabled,0.0005834532734741878,0.6415271459572242
06037265100,PALISADES,residential_elderly_disabled,0.0005316197526605065,0.5137333692650544
06037265201,PALISADES,residential_elderly_disabled,0.000544807984753049,0.5397164849295035
06037265203,PALISADES,residential_elderly_disabled,0.0005487895685557096,0.5527899368535691
06037265204,PALISADES,residential_elderly_disabled,0.0005566229113158015,0.5639702992244024
06037265301,PALISADES,residential_elderly_disabled,0.0005541307055888023,0.545296124376253
06037265303,PALISADES,residential_elderly_disabled,0.0005646819627652132,0.5652415695929168
06037265304,PALISADES,residential_elderly_disabled,0.0005620614073449587,0.5610280916060455
06037265306,PALISADES,residential_elderly_disabled,0.0005603787901903545,0.5620701895915788
06037265307,PALISADES,residential_elderly_disabled,0.0005618601340573819,0.5715731853510362
06037265410,PALISADES,residential_elderly_disabled,0.000575118978453424,0.5826669786699511
06037265420,PALISADES,residential_elderly_disabled,0.0005694889558019865,0.5664486667760976
06037265521,PALISADES,residential_elderly_disabled,0.0005580265020387383,0.5751754499483981
06037265522,PALISADES,residential_elderly_disabled,0.000554033294098959,0.5702346552821396
06037265523,PALISADES,residential_elderly_disabled,0.0005511557578760696,0.5748167616462413
06037265524,PALISADES,residential_elderly_disabled,0.0005593629575632668,0.588629357980594
06037265601,PALISADES,residential_elderly_disabled,0.0005428844660250511,0.5562017669321161
06037265602,PALISADES,residential_elderly_disabled,0.0005440390034294043,0.549804998650845
06037265701,PALISADES,residential_elderly_disabled,0.0005263888148088835,0.5233694799258252
06037265702,PALISADES,residential_elderly_disabled,0.0005336354898156318,0.5299660910765626
06037267101,PALISADES,residential_elderly_disabled,0.0005370872377894056,0.5581728698484001
06037267102,PALISADES,residential_elderly_disabled,0.0005279654944428407,0.5402030396246056
06037267201,PALISADES,residential_elderly_disabled,0.0005531422350846916,0.5941482022139517
06037267202,PALISADES,residential_elderly_disabled,0.0005451877676722625,0.5769777067235301
06037267300,PALISADES,residential_elderly_disabled,0.0005642813898242342,0.6084813748744633
06037267403,PALISADES,residential_elderly_disabled,0.0005717917833077501,0.6151697997601301
06037267404,PALISADES,residential_elderly_disabled,0.0005755818576530128,0.6263289703339874
06037267405,PALISADES,residential_elderly_disabled,0.0005813824062782457,0.648687028834373
06037267406,PALISADES,residential_elderly_disabled,0.0005786060529159677,0.6373403471543777
06037267502,PALISADES,residential_elderly_disabled,0.0005760323138470189,0.6485586172030839
06037267503,PALISADES,residential_elderly_disabled,0.0005689643271654572,0.6227473613738029
06037267504,PALISADES,residential_elderly_disabled,0.000572011712088336,0.6334550281148332
06037267600,PALISADES,residential_elderly_disabled,0.0005653379931388094,0.6391573046080979
06037267700,PALISADES,residential_elderly_disabled,0.0005570821933258539,0.6133107193669518
06037267800,PALISADES,residential_elderly_disabled,0.0005400217228443252,0.5865199821481238
06037267901,PALISADES,residential_elderly_disabled,0.0005150984525007829,0.5200515902577798
06037267902,PALISADES,residential_elderly_disabled,0.0005257897829243289,0.5496532005928074
06037269000,PALISADES,residential_elderly_disabled,0.0004992877195166755,0.5272535901777518
06037269100,PALISADES,residential_elderly_disabled,0.000483653420914561,0.4899995519743459
06037269300,PALISADES,residential_elderly_disabled,0.0005155590973523921,0.5510823666484679
06037269500,PALISADES,residential_elderly_disabled,0.0004819388308179859,0.504562690630959
06037269601,PALISADES,residential_elderly_disabled,0.0004546449644360871,0.4768877284981943
06037269602,PALISADES,residential_elderly_disabled,0.00046455001144015453,0.48550760753769634
06037269700,PALISADES,residential_elderly_disabled,0.00046835391076643473,0.5011545071928729
06037269800,PALISADES,residential_elderly_disabled,0.00048499928443565944,0.5292045685402769
06037269903,PALISADES,residential_elderly_disabled,0.0004967228792974791,0.5695067810636419
06037269905,PALISADES,residential_elderly_disabled,0.0004897637278656178,0.5572514034392515
